ID,PN,IPC,Title,Abstract,Year,Keywords,Novelty
2,US3237161A,"[""G06K9/66""]",Self-programming pattern recognition machine,no Abstract,1961.0,"[""self"", ""recognition machine"", ""programming pattern"", """", """"]",
4,US3341814A,"[""G06K9/00""]",Character recognition,no Abstract,1962.0,"[""character"", ""recognition"", ""character recognition"", """", """"]",
7,US3267431A,"[""G06K9/66""]",Adaptive computing system capable of being trained to recognize patterns,no Abstract,1963.0,"[""capable trained"", ""patterns"", ""adaptive computing"", """", """"]",
9,US3414885A,"[""G01R19/00"", ""G06F1/00"", ""G06F11/00"", ""G06F7/02"", ""G06G7/04"", ""G06G7/12"", ""G06G7/20"", ""G06K9/66"", ""G09B19/06"", ""G09B23/18"", ""G11C17/16"", ""G11C27/02"", ""H03D13/00"", ""H03K17/82"", ""H03K5/22""]","Distinguishing matrix that is capable of learning, for analog signals",no Abstract,1964.0,"[""capable learning"", ""analog signals"", ""distinguishing matrix"", """", """"]",
12,GB1170234A,"[""G06K9/80""]",Improvements in or relating to Electronic Systems and Apparatus for Recognising Printed Characters.,"1,170,234. Character recognition. NATIONAL RESEARCH DEVELOPMENT CORP. 14 Nov., 1966 [12 Nov., 1965], No. 48171/65. Heading G4R. Character recognition apparatus multiplies together relatively delayed versions of an analogue signal waveform derived from a raster scan of the character, to obtain analogue shape feature indicating signals which are then combined to identify the character such that a given character is indicated only if the correct shape features occur in the correct physical disposition relative to each other. Referring to Figs. 4, 5, the waveform from a raster of vertical scans of the character to be identified is amplified logarithmically at 14 and applied to delay lines DL1-DL9 as shown. Each delay line DL1-DL4 has a delay of four scan lines and each delay line DL5-DL9 of one scan line. Tappings on lines DL5-DL9 feed adders ADR1-ADRn to recognize geometric features, e.g. straight and curved lines in various orientations. The adders feed "" blur "" filters BF1-BFn via antilog amplifiers ALA1- ALAn. The blur filters are low-pass filters for broadening the signal peaks to allow for circuit noise and variations in ink density. The blur filters feed weighting and combining networks CNl-CNn, one per possible character, via delays DM1 &amp;c. which serve to bring feature signals derived from different parts of the character to the appropriate weighting and combining network simultaneously. The largest network output is selected as identifying the character. In a modification (Figs. 6, 7, not shown), blurring and combining is done in delay lines, one per possible character. Each delay line receives the outputs of several of the antilog amplifiers of Fig. 4 which are applied to respective positions along its length. Three taps, one scan time apart, on each line feed a summer respective to the line (to provide blurring between adjacent scans). Blurring along each scan is provided by limiting the response bandwidth of the delay lines. The summer outputs are gated (except during scan fly-back) to respective peak detectors, the largest output of which is selected to identify the character under control of a validity check circuit which can also produce a reject signal. In addition, the largest of the gated summer outputs is filtered to remove transients, then differentiated before being passed to two Schmitt triggers which produce outputs on positive-to-negative and negative-to-positive zero-crossings respectively. These outputs indicate the reaching of the best time to sample the previous signals to identify the character, and the "" boundary "" between successive characters respectively. The validity check circuit utilizes pulse lengtheners, storage triggers and logic circuitry to perform checks on the relative timing of these signals in dependence on predetermined maximum and minimum character widths. The delay lines of Fig. 5 may be eliminated by suitable choice of the tappings on those of Fig. 4.",1965.0,"[""signals combined identify"", ""blur"", ""dl4 delay scan"", ""blur filters bf1"", ""character recognition apparatus""]",
10001,JPH05158991A,"[""G06F17/30""]",INFORMATION RETRIEVAL SYSTEM,"PURPOSE:To provide the information retrieval system capable of giving the order of priority and specifying the retrieval not including a specific keyword. CONSTITUTION:In retrieval, keywords and documents are represented by nodes using a keyword network part 12 representing the relation between keywords, a retrieval keyword importance setting part 11 specifying the importance of the retrieval keyword, and an information storage part 13 storing information, and the relation of keywords is represented by the weight of the link between nodes to propagate the activity of nodes. Further, the retrieval keyword importance setting part 11 is provided with a retrieval history storage part 10 storing the retrieval condition and the degree of satisfaction of a retriever against the retrieval result under the retrieval condition. Based on the past retrieval history of the retriever stored in the retrieval history storage part 10, the retrieval condition is set while having a conversation with the retriever.",1991.0,"[""retrieval history storage"", ""storing retrieval condition"", ""priority specifying retrieval"", ""importance retrieval keyword"", ""keywords retrieval keyword""]",13.818849854677334
10004,JPH0561637A,"[""G06F13/00"", ""G06F3/16"", ""H04L12/54"", ""H04L12/58""]",VOICE SYNTHESIZING MAIL SYSTEM,PURPOSE:To directly and naturally transmit transmitter's feelings to a receiver as voice by controlling a voice synthesizing parameter to be used at the time of outputting a voice in accordance with codes stored in a face dictionary or the like or character codes such as 'desu/masu' (the end of a Japanese sentence) style. CONSTITUTION:Data transmitted from the transmission side are inputted to a transmitting/receiving part 3 and temporarily stored in a storage part 2 through a control part 4. An analyzing part 5 searches whether a code indicated in the shown code part is included in the stored data or not through the control part 4. A searched result of the analyzing part 5 is converted into a parameter while referring the shown table and the parameter is transmitted to a voice synthesizing part 6. The synthesizing part 6 reads out data other than codes stored in the storage part 2 and synthesizes a voice while changing the level or intonation of the voice to be synthesized in accordance with the parameter by using the searched result of the analyzing part 5 and the synthesized voice result is outputted from a voice output part 8 through the control part 4.,1991.0,"[""parameter transmitted"", ""synthesizing parameter used"", ""transmit transmitter feelings"", ""voice accordance codes"", ""storage synthesizes voice""]",14.339888060793267
10007,JPH056445A,"[""G06F15/18"", ""G06F9/44"", ""G06G7/60"", ""G06N3/00"", ""G06N99/00""]",NEURAL NETWORK USING MEMBERSHIP FUNCTION AND ITS LEARNING SYSTEM,"PURPOSE:To simplify the learning of a neural network and also to facilitate the connection weight analysis by adding a membership function attaining layer between an input layer and a medium layer and setting previously the weight of the network connection and the neuron threshold value at the part of the membership function attaining layer. CONSTITUTION:A neural network includes an input layer 10 serving as a branch unit, a medium layer 12 of a double layer structure using a neuron, and an output layer 14. Then a membership function attaining layer 16 is added between both layers 10 and 12. The layer 16 consists of a 1st layer of a neuron having a sigmoid function as a nonlinear function and a 2nd layer having a neuron having a linear function. The layer 12 consists of the 3rd and 4th layers, and each neuron of the layer 16 approximates the small, medium and large membership functions.",1991.0,"[""sigmoid function nonlinear"", ""layer constitution neural"", ""connection neuron threshold"", ""learning neural network"", ""neural network includes""]",11.60120497661367
40001,EP0932235A3,"[""H02H3/08"", ""H02H3/40""]",A directional element,"A directional element (40) which produces a quantity ζo related to the zero sequence source impedance of a power system relative to the location of the directional element (40), from values of zero sequence current (IR) and an adjusted value of zero sequence voltage (3Vo). The impedance quantity (ζo) is then compared against first and second threshold quantities (ZOF and ZOR) to identify the direction of a fault. Further, the zero sequence voltage-polarized directional element can be combined with other individual directional elements, induding a zero sequence current-polarized directional element and a negative sequence voltage-polarized directional element to form a universal directional element for unbalanced faults, in which the individual directional elements operate in a particular sequence, with the other directional elements being blocked from operating if a prior directional element in the sequence provides a direction indication.",1996.0,"[""directional element negative"", ""faults individual"", ""sequence voltage polarized"", ""individual directional elements"", ""fault zero""]",12.478218369040588
60007,WO9809204A1,"[""B23Q15/00"", ""B23Q41/00"", ""G05B19/418"", ""G05B19/418""]",MACHINE CONTROL SYSTEM,"When a copied machining program is tranferred from a central station (1) to a NC machine (24), the transfer method determining means (33) of a controller (20) compares a copied machining schedule and the machining program from the central station (1) with transfer decision rules (Ri) which are generated in a data base (30) beforehand and determines automatically whether the transfer is performed by the memory transfer or by the DNC transfer. Then, a machining program transfer means (34) transfers the machining program to the NC apparatus (24) by the determined method.",1997.0,"[""nc machine"", ""transfer method determining"", ""copied machining schedule"", ""machining program central"", ""program transfer means""]",14.231151659875016
70001,US6265707B1,"[""G02F3/00"", ""G03H1/08"", ""G06E3/00"", ""G06K9/74"", ""G06T7/00""]",Pattern-recognition computing and method for producing same,"Pattern-recognition computing can be accomplished using wave-type or other types of energy. In pattern-recognition computing which uses a plurality of wave-type energy input patterns modulated with quantized information, energy from the patterns combines to produce interference-based dynamic images. Component parts of a dynamic image are separated and recombined to produce logic and other computing process outputs. To produce a coordinated set of optics for pattern-recognition computing, waveforms at pixel-sized image components of the dynamic image are chosen to become contributors to the combined output if they will contribute (or can be modified to contribute) in a positive manner to a combined output waveform that obeys the logic rules of the device being produced. Iterative changes in input pattern characteristics are used to optimize the coordinated optics. Pattern-recognition computing can also use special interference and frequency-multiplexed logic.",1998.0,"[""recognition computing"", ""interference based dynamic"", ""waveforms pixel"", ""energy input patterns"", ""set optics pattern""]",9.53390143713358
80001,US6255965B1,"[""G01C23/00"", ""G05D1/06"", ""G05D1/08""]","Device for aiding the piloting of an aircraft, especially a rotary-wing aircraft and in particular a helicopter","The present invention relates to a device for aiding the piloting of an aircraft, especially a rotary-wing aircraft, in particular a helicopter.According to the invention, said device (1) comprises first means (2) for determining, on the one hand, the slope and the heading of a preset path of the aircraft and, on the other hand, the slope and the heading of a flight path which the aircraft can take in order to join up with the preset path, and second means (3) for presenting, on a display screen (5), simultaneously a first characteristic sign (S1), whose position on the display screen (5) is representative of the slope and of the heading of the preset path and a second characteristic sign (S2), whose position on the display screen (5) is representative of the slope and of the heading of the flight path.",1999.0,"[""piloting"", ""preset path aircraft"", ""aircraft particular helicopter"", ""invention relates device"", ""device aiding""]",11.832026201779003
100001,US6992796B1,"[""B41J2/52"", ""G03F3/08"", ""G03G15/00"", ""G03G15/04"", ""G03G15/043"", ""G06F15/00"", ""H04N1/04"", ""H04N1/60""]",Image forming apparatus and image processing method used for the same,"When an image forming means forms a reading gradation pattern chart, gradation patterns are formed so as to prevent an intensified electric field caused by a potential difference at a boundary of an electrostatic latent image on the gradation patterns, which are adjacent to each other in a sub-scanning direction of an image forming section. With this arrangement, an image forming apparatus for suitably correcting the gradation pattern can adjust image forming conditions in a positive and appropriate manner.",2000.0,"[""direction image forming"", ""correcting gradation pattern"", ""adjust image forming"", ""chart gradation patterns"", ""latent image gradation""]",12.996955318854642
110001,US2002069217A1,"[""G06F15/00"", ""G06F17/24"", ""G06F17/30"", ""G06F9/44""]","Automatic, multi-stage rich-media content creation using a framework based digital workflow - systems, methods and program products","An automatic, multi-stage rich media content creation system includes a network based server executing an operating system, a text editing program, typically XML editor, and an authoring or batch processing program for combining Rich Media in a Multimedia Vehicle Repository (MVR) file. Video, stills, panoramas, sound, film, etc are combined as raw Rich Media from one or more sources and transmitted to the server in a framework over a digital network. The raw Rich Media is incorporated into the framework as a series of related frames. The raw Rich Media is stored on a storage device, typically a disk at the network based server. A creator using a standard graphical or text editing tools has access to the raw media assets on the disk for preparing a textual specification description, typically XML in an electronic template of desired Rich Media content. The template and raw media assets are transmitted by the creator to the server for combining the raw media assets and the XML textual specification in the template as a composed MVR file using the batch-processing program. The composed MVR file and textual specification may be returned to the creator for further editing of the specification, if necessary, and/or stored on the server disk for access by other creators. The template based, composed or edited MVR file of Rich Media content and related textual specification can be transmitted to other servers on the network for automatic, multistage creation of Rich Media content by several user groups. One user group can create a template based, composed or edited MVR file which another group accesses via the network to inject other content into the template for revising the XML text specification to create another embodiment of the Rich Media content.",2000.0,"[""media multimedia"", ""mvr file rich"", ""network raw rich"", ""content creation"", ""file textual specification""]",12.207344851601595
130001,TW513871B,"[""G08B25/01"", ""G08B25/04"", ""G08B25/10"", ""H04L12/46"", ""H04L12/66"", ""H04L29/08"", ""H04N7/18"", ""H04Q9/00""]",Communication system provided with control apparatus between local network and external network,"A communication system includes a local terminal apparatus connected with a local network, a remote terminal apparatus connected with an external network, and a control apparatus interposed between the local network and the external network. The local terminal apparatus includes a reply section for returning an answer signal including a status information of a processing executing section via the local network in response to a request signal received via the local network. The control apparatus includes a gateway section for receiving the request signal transmitted from the remote terminal apparatus via the external network, and thereafter, transmitting the received request signal to the local terminal apparatus via the local network, and for receiving an answer signal corresponding to the request signal from the local terminal apparatus via the local network, and thereafter, transmitting the received answer signal to the remote terminal apparatus via the external network.",2001.0,"[""terminal apparatus connected"", ""network response"", ""apparatus includes reply"", ""network local terminal"", ""communication includes local""]",14.730423689598108
140001,CA2736615A1,"[""A61B19/00"", ""A61B5/00"", ""A61B5/055"", ""A61B5/374"", ""A61K31/135"", ""A61K31/19"", ""A61K31/4458"", ""A61K31/55"", ""A61K31/5513"", ""A61K45/00"", ""A61P25/00"", ""A61P25/18"", ""A61P25/28"", ""G06F19/00""]",METHOD FOR CLASSIFYING AND TREATING PHYSIOLOGIC BRAIN IMBALANCES USING QUANTATIVE EEG," Neurophysiologic information such as quantitative electroencephalography (QEEG) is used in a method for classifying, diagnosing, and treating physiologic brain imbalances. Neurophysiologic information is also used to guide sample selection in clinical tests for psychopharmacologic drug candidates. Finally, neurophysiologic information is used for remotely assessing and treating patients with physiologic brain imbalances.",2001.0,"[""clinical tests psychopharmacologic"", ""treating physiologic brain"", ""imbalances neurophysiologic"", ""neurophysiologic information quantitative"", ""electroencephalography qeeg used""]",5.280804853276292
